SeriesInd,group,Var01,Var02,Var03,Var05,Var07
40669,S05,69.260002,27809100,68.190002,68.720001,69.150002
40670,S05,69.449997,30174700,68.800003,69.190002,69.419998
40671,S05,70.599998,35044700,69.339996,69.449997,70.019997
40672,S05,70.059998,27192100,69.419998,69.900002,69.800003
40673,S05,69.75,24891800,69.220001,69.690002,69.519997
40676,S05,70.519997,30685000,69.650002,69.940002,70.300003
40677,S05,69.989998,31496700,69.519997,69.720001,69.949997
40678,S05,70.040001,24884400,69.260002,69.959999,69.669998
40679,S05,69.739998,18630800,69.349998,69.540001,69.68
40680,S05,69.690002,29411900,68.650002,69.650002,69.110001
40684,S05,69.349998,26081900,68.419998,68.739998,69.269997
40685,S05,68.660004,34629500,67.93,68.559998,68.029999
40686,S05,68.150002,39114000,66.5,68.120003,66.699997
40687,S05,67.139999,39085500,66,66.519997,66.099998
40690,S05,66.760002,29305100,65.690002,66.550003,65.849998
40691,S05,66.739998,34083300,65.5,65.639999,65.919998
40692,S05,66.059998,35723500,65,65.660004,65.540001
40693,S05,65.849998,37349800,64.57,65.849998,64.959999
40694,S05,65.82,40880500,64.019997,65.150002,64.43
40697,S05,66.410004,37703000,65.349998,65.769997,66.18
40698,S05,67.120003,34057900,66.470001,66.730003,66.959999
40699,S05,67.230003,24024700,66.559998,66.879997,66.599998
40700,S05,66.349998,33858200,64.68,66.269997,64.720001
40701,S05,64.900002,42297500,63.560001,64.699997,64.800003
40704,S05,65.489998,30519400,64.339996,64.910004,64.349998
40705,S05,65.709999,36243300,64.559998,65.110001,65.199997
40706,S05,65.220001,21699100,64.160004,65.080002,64.849998
40707,S05,65.480003,23555200,64.410004,64.690002,65.239998
40708,S05,65.139999,30636200,64.279999,64.620003,64.800003
40712,S05,66.379997,30514900,65.080002,65.440002,66.279999
40713,S05,66.449997,21821800,65.57,66.339996,65.760002
40714,S05,66.089996,22536700,65.349998,65.800003,65.959999
40715,S05,66.239998,24264600,65.43,65.589996,65.870003
40718,S05,66.120003,20469700,65.25,66.099998,65.400002
40719,S05,65.559998,33372900,64.150002,65.260002,64.940002
40720,S05,65.870003,21469600,64.769997,65.010002,65.550003
40721,S05,65.169998,25668800,64.370003,64.610001,65.139999
40722,S05,65.400002,20129700,64.919998,65.260002,65
40725,S05,65.540001,18798600,65.089996,65.360001,65.400002
40726,S05,65.790001,24823900,65.150002,65.660004,65.489998
40727,S05,65.970001,22279800,65.379997,65.769997,65.43
40728,S05,65.629997,21961100,65.080002,65.349998,65.400002
40729,S05,66.519997,26837900,65.779999,65.959999,66.470001
40732,S05,66.790001,20297200,66.230003,66.769997,66.480003
40733,S05,67.190002,29003100,66.220001,66.32,66.779999
40734,S05,67.419998,24810300,66.779999,67.160004,67.220001
40735,S05,67.559998,19357400,66.980003,67.389999,67.220001
40736,S05,67.580002,23361800,66.5,67.580002,66.800003
40739,S05,66.690002,22070000,65.900002,66.669998,66.300003
40740,S05,66.68,35103700,66,66.550003,66.57
40741,S05,67.790001,38770000,66.800003,66.910004,67.360001
40742,S05,67.739998,25925500,67.010002,67.5,67.389999
40743,S05,67.889999,45564200,66.43,67.040001,67.040001
40746,S05,67.199997,21390600,66.32,66.489998,66.970001
40747,S05,66.980003,24754700,66.449997,66.940002,66.949997
40748,S05,66.860001,19748800,66.230003,66.57,66.5
40749,S05,66.919998,21095600,66.239998,66.809998,66.300003
40750,S05,66.879997,30553400,66.169998,66.440002,66.540001
40753,S05,67.480003,26122200,66.589996,66.660004,67.300003
40754,S05,67.300003,17745900,66.790001,67.190002,67.050003
40755,S05,67.190002,22352500,66.599998,66.940002,66.980003
40756,S05,67.800003,19614700,67.190002,67.269997,67.610001
40760,S05,68.360001,20901100,67.720001,67.839996,68.190002
40761,S05,68.349998,19776800,67.800003,67.989998,67.900002
40762,S05,67.849998,24531500,66.970001,67.830002,67.339996
40763,S05,68.220001,24060800,66.849998,67.010002,67.860001
40764,S05,68.980003,21099600,68.07,68.110001,68.760002
40767,S05,69.050003,18170300,68.580002,68.800003,68.709999
40768,S05,68.760002,19177100,68.07,68.470001,68.660004
40769,S05,68.82,18777800,68.360001,68.720001,68.610001
40770,S05,68.720001,16712900,68.150002,68.5,68.260002
40771,S05,68.699997,33855100,67.709999,68.120003,67.93
40774,S05,68.440002,25686000,67.57,67.75,68.230003
40775,S05,69.220001,22989500,68.5,68.620003,68.970001
40776,S05,69.43,21119200,68.57,69,68.919998
40777,S05,68.730003,21654700,68.220001,68.519997,68.559998
40778,S05,69.269997,24340000,68.18,68.5,69.239998
40781,S05,69.529999,18237100,68.93,69.029999,69.290001
40782,S05,70,36374700,68.199997,69.010002,68.269997
40783,S05,69.540001,33243500,68.610001,68.870003,69.190002
40784,S05,69.660004,47200900,68.239998,68.449997,68.660004
40785,S05,69.309998,43762100,67.730003,68.900002,67.769997
40788,S05,68.220001,30734900,67.18,68.110001,67.839996
40789,S05,67.260002,31646100,66,67.150002,66.470001
40790,S05,66.940002,30260300,65.830002,65.940002,66.169998
40791,S05,66.230003,58336300,58.459999,65.790001,63.889999
40792,S05,64.919998,69004800,63.23,64.5,63.700001
40795,S05,65.75,38337600,64.519997,65.419998,65.230003
40796,S05,65,29790600,64.230003,64.620003,64.459999
40797,S05,65.339996,25390700,64.5,64.639999,64.910004
40798,S05,65.269997,26791600,64.32,64.870003,64.739998
40799,S05,64.730003,38815400,62.91,64.5,63.599998
40802,S05,63.880001,31923700,62.259998,63.740002,63.27
40803,S05,64.269997,34457000,62.419998,64.050003,62.790001
40804,S05,62.939999,36722500,62,62.459999,62.450001
40805,S05,61.68,57194500,60.209999,61.470001,60.330002
40806,S05,60.950001,52802900,59.16,59.16,60.880001
40809,S05,61,27847800,60.130001,60.740002,60.189999
40810,S05,59.779999,50533800,58.459999,58.990002,59.709999
40811,S05,60.459999,34028900,59.119999,60.080002,59.310001
40812,S05,61.549999,31911500,60.099998,60.5,61.459999
40813,S05,61.669998,32078700,60.279999,61.209999,60.459999
40817,S05,60.860001,32972000,59.139999,60.380001,59.25
40818,S05,60.799999,28668400,59.23,59.509998,60.77
40819,S05,62.009998,32383700,60.599998,61.23,61.560001
